Lesley's Luxury Vehicles|123 Dream Blvd|800-555-LUXE
10001|2022|Mercedes-Benz|S-Class|Sedan|Black|10500|114995.00
10002|2023|BMW|X7|SUV|White|8700|98995.00
10003|2021|Audi|Q8|SUV|Gray|15200|85995.00
10004|2022|Lexus|LS 500|Sedan|Blue|9400|92950.00
10005|2020|Tesla|Model S Plaid|Sedan|Red|22000|119000.00
10006|2023|Rolls-Royce|Ghost|Sedan|Silver|4000|325000.00
10007|2021|Porsche|Taycan Turbo S|Sedan|White|7300|185000.00
10008|2023|Lucid|Air Grand Touring|Sedan|Gold|3900|154000.00
10009|2022|Bentley|Continental GT|Coupe|Midnight Blue|5600|240000.00
10010|2022|Ferrari|Roma|Coupe|Red|2100|222000.00
10011|2023|Lamborghini|Urus Performante|SUV|Black|1200|270000.00
10012|2021|Maserati|Levante Trofeo|SUV|Silver|13300|165000.00
10013|2020|Jaguar|I-PACE HSE|SUV|Gray|11000|89000.00
10014|2023|Rivian|R1S|SUV|Forest Green|2500|95000.00
10015|2023|Rolls-Royce|Cullinan|SUV|White|1800|345000.00
10016|2024|Tesla|Cybertruck|Truck|Matte Black|50|79999.00
10017|2022|Acura|TLX A-Spec|Sedan|Gray|9200|46950.00
10018|2023|Genesis|G70 2.0T|Sedan|Black|6700|39900.00
10019|2021|Volvo|S60 R-Design|Sedan|White|8500|45500.00
10020|2020|Infiniti|Q50 Luxe|Sedan|Silver|12100|38500.00
10021|2022|Audi|A4 Premium|Sedan|Red|9900|44200.00
10022|2023|BMW|330i xDrive|Sedan|Blue|7100|48750.00
10023|2022|Lexus|IS 300|Sedan|Pearl|6400|41995.00
10024|2021|Cadillac|CT5 Luxury|Sedan|Burgundy|11500|39995.00
10025|2023|Mercedes-Benz|GLA 250|SUV|White|5400|46500.00
10026|2023|Lincoln|Corsair Reserve|SUV|Black|4300|51900.00